PLAYER_NAME,TEAM_ABBREVIATION,POSITION,AGE,HEIGHT,WEIGHT,EXP,FGM,STL,PFD,AST
Taj Gibson,CHA,F,39,"6'9""",232,15,47,9,20,21
Talen Horton-Tucker,CHI,G,24,"6'4""",234,5,133,21,67,83
Tari Eason,HOU,F,23,"6'8""",215,2,272,97,76,83
Taurean Prince,MIL,F,31,"6'6""",218,8,235,76,60,155
Taylor Hendricks,UTA,F,21,"6'9""",215,1,4,5,2,2
Terance Mann,ATL,G-F,28,"6'5""",215,5,205,47,64,121
Terence Davis,SAC,G,27,"6'4""",201,4,0,0,0,1
Terrence Shannon Jr.,MIN,G-F,24,"6'6""",215,R,55,7,16,32
Terry Rozier,MIA,G,31,"6'1""",190,9,248,37,98,167
Thomas Bryant,IND,C-F,27,"6'10""",248,7,163,28,62,53
Tidjane Salaün,CHA,F,19,"6'8""",207,R,114,29,79,74
Tim Hardaway Jr.,DET,G-F,33,"6'5""",205,11,276,38,151,123
Tobias Harris,DET,F,32,"6'8""",226,13,384,74,121,162
Tony Bradley,IND,C-F,27,"6'11""",248,6,29,2,10,6
Torrey Craig,BOS,F,34,"6'5""",221,7,38,8,10,17
Tosan Evbuomwan,BKN,F,24,"6'7""",217,1,94,24,59,55
Toumani Camara,POR,F,24,"6'7""",229,1,328,116,221,175
Trae Young,ATL,G,26,"6'1""",164,6,566,91,430,880
Trayce Jackson-Davis,GSW,F,25,"6'9""",245,1,174,23,75,104
Tre Jones,CHI,G,25,"6'1""",185,4,128,37,67,192
Tre Mann,CHA,G,24,"6'3""",178,3,70,7,21,39
Trendon Watford,BKN,G-F,24,"6'8""",237,3,164,27,106,115
Trentyn Flowers,LAC,F,20,"6'9""",185,R,4,0,2,0
Trevelin Queen,ORL,G,28,"6'5""",190,3,56,31,17,38
Trey Alexander,DEN,G,21,"6'4""",185,R,13,2,4,11
Trey Jemison III,LAL,C,25,"6'11""",270,1,41,9,20,16
Trey Lyles,SAC,F,29,"6'9""",234,9,157,41,79,82
Trey Murphy III,NOP,F,24,"6'8""",206,3,381,56,186,188
Tristan Thompson,CLE,C-F,34,"6'9""",254,13,31,2,22,24
Tristan Vukcevic,WAS,F,22,"7'0""",220,1,120,11,58,39
Tristan da Silva,ORL,F,23,"6'8""",217,R,199,33,57,113
Tristen Newton,MIN,G,23,"6'5""",190,R,1,1,1,2
Ty Jerome,CLE,G-F,27,"6'5""",195,5,319,78,124,237
TyTy Washington Jr.,PHX,G,23,"6'3""",195,2,14,3,4,16
Tyler Herro,MIA,G,25,"6'5""",195,5,651,69,227,424
Tyler Kolek,NYK,G,24,"6'3""",195,R,27,12,21,70
Tyler Smith,MIL,F,20,"6'9""",224,R,24,3,7,4
Tyrese Haliburton,IND,G,25,"6'5""",185,4,476,105,175,673
Tyrese Martin,BKN,F,26,"6'6""",215,1,189,34,50,122
Tyrese Maxey,PHI,G,24,"6'2""",200,4,477,91,224,317
Tyson Etienne,BKN,G,25,"6'2""",200,R,17,3,8,12
Tyus Jones,PHX,G,28,"6'1""",196,9,306,69,76,429
Ulrich Chomche,TOR,C,19,"6'11""",235,R,2,0,1,2
Vasilije Micić,PHX,G,31,"6'3""",188,1,95,15,48,128
Victor Wembanyama,SAS,F-C,21,"7'3""",235,1,408,52,226,168
Vince Williams Jr.,MEM,G,24,"6'4""",205,2,67,12,34,55
Vlatko Čančar,DEN,F,28,"6'8""",236,4,10,3,4,9
Vít Krejčí,ATL,G,24,"6'8""",195,3,145,36,41,147
Walker Kessler,UTA,C,23,"7'0""",245,2,278,36,129,97
Wendell Carter Jr.,ORL,C-F,25,"6'10""",270,6,226,52,177,134
Wendell Moore Jr.,CHA,G,23,"6'5""",215,2,59,20,19,42
Xavier Tillman,BOS,F,26,"6'7""",245,4,13,11,5,7
Yuki Kawamura,MEM,G,23,"5'8""",159,R,11,2,6,19
Yves Missi,NOP,C,20,"6'11""",235,R,269,37,166,99
Zaccharie Risacher,ATL,F,20,"6'8""",200,R,357,52,106,92
Zach Collins,CHI,F-C,27,"6'11""",250,6,153,29,84,111
Zach Edey,MEM,C,22,"7'4""",305,R,251,36,118,65
Zach LaVine,SAC,G,30,"6'5""",200,10,625,58,228,310
Zeke Nnaji,DEN,F-C,24,"6'9""",240,4,70,25,38,23
Ziaire Williams,BKN,F,23,"6'9""",185,3,214,62,116,84
Zion Williamson,NOP,F,24,"6'6""",284,4,288,37,170,159
Zyon Pullin,MEM,G,24,"6'4""",206,R,0,0,0,0
