PLAYER_NAME,TEAM_ABBREVIATION,AGE,HEIGHT,WEIGHT,EXP,FGM,STL,PFD,AST
Svi Mykhailiuk,UTA,27,"6'7""",205,6,103,19,27,69
T.J. McConnell,IND,33,"6'1""",190,9,313,81,91,343
Taj Gibson,CHA,39,"6'9""",232,15,44,9,20,19
Talen Horton-Tucker,CHI,24,"6'4""",234,5,124,18,58,73
Tari Eason,HOU,23,"6'8""",215,2,268,96,75,80
Taurean Prince,MIL,31,"6'6""",218,8,230,76,59,153
Taylor Hendricks,UTA,21,"6'9""",215,1,4,5,2,2
Tazé Moore,POR,26,,,,2,2,1,1
Terance Mann,ATL,28,"6'5""",215,5,188,46,61,116
Terrence Shannon Jr.,MIN,24,"6'6""",215,R,55,7,16,32
Terry Rozier,MIA,31,"6'1""",190,9,246,36,97,164
Terry Taylor,SAC,25,,,,0,0,0,2
Thomas Bryant,IND,27,"6'10""",248,7,157,27,60,52
Tidjane Salaün,CHA,19,"6'8""",207,R,111,29,78,70
Tim Hardaway Jr.,DET,33,"6'5""",205,11,269,37,148,120
Tobias Harris,DET,32,"6'8""",226,13,371,70,115,156
Tony Bradley,IND,27,"6'11""",248,6,18,1,3,3
Torrey Craig,BOS,34,"6'5""",221,7,37,4,9,12
Tosan Evbuomwan,BKN,24,"6'7""",217,1,85,19,51,44
Toumani Camara,POR,24,"6'7""",229,1,319,114,218,168
Trae Young,ATL,26,"6'1""",164,6,549,88,417,857
Trayce Jackson-Davis,GSW,25,"6'9""",245,1,174,22,75,103
Tre Jones,CHI,25,"6'1""",185,4,128,37,67,192
Tre Mann,CHA,24,"6'3""",178,3,70,7,21,39
Trendon Watford,BKN,24,"6'8""",237,3,148,25,95,104
Trentyn Flowers,LAC,20,"6'9""",185,R,4,0,2,0
Trevelin Queen,ORL,28,"6'5""",190,3,47,28,15,34
Trey Alexander,DEN,21,"6'4""",185,R,12,1,4,11
Trey Jemison III,LAL,25,"6'11""",270,1,39,9,18,14
Trey Lyles,SAC,29,"6'9""",234,9,149,40,77,81
Trey Murphy III,NOP,24,"6'8""",206,3,381,56,186,188
Tristan Thompson,CLE,34,"6'9""",254,13,27,1,16,23
Tristan Vukcevic,WAS,22,"7'0""",220,1,104,11,50,32
Tristan da Silva,ORL,23,"6'8""",217,R,188,30,55,105
Tristen Newton,MIN,23,"6'5""",190,R,1,1,1,2
Ty Jerome,CLE,27,"6'5""",195,5,310,78,120,231
TyTy Washington Jr.,PHX,23,"6'3""",195,2,13,3,3,15
Tyler Herro,MIA,25,"6'5""",195,5,644,68,223,420
Tyler Kolek,NYK,24,"6'3""",195,R,26,12,18,66
Tyler Smith,MIL,20,"6'9""",224,R,18,2,4,4
Tyrese Haliburton,IND,25,"6'5""",185,4,468,105,174,663
Tyrese Martin,BKN,26,"6'6""",215,1,177,32,47,114
Tyrese Maxey,PHI,24,"6'2""",200,4,477,91,224,317
Tyson Etienne,BKN,25,"6'2""",200,R,10,2,5,9
Tyus Jones,PHX,28,"6'1""",196,9,297,67,75,423
Ulrich Chomche,TOR,19,"6'11""",235,R,2,0,1,2
Vasilije Micić,PHX,31,"6'3""",188,1,95,15,48,128
Victor Wembanyama,SAS,21,"7'3""",235,1,408,52,226,168
Vince Williams Jr.,MEM,24,"6'4""",205,2,60,11,32,48
Vlatko Čančar,DEN,28,"6'8""",236,4,10,3,4,9
Vít Krejčí,ATL,24,"6'8""",195,3,137,32,36,137
Walker Kessler,UTA,23,"7'0""",245,2,278,36,129,97
Wendell Carter Jr.,ORL,25,"6'10""",270,6,225,51,174,132
Wendell Moore Jr.,CHA,23,"6'5""",215,2,56,19,19,38
Xavier Tillman,BOS,26,"6'7""",245,4,13,11,5,7
Yuki Kawamura,MEM,23,"5'8""",159,R,8,1,4,14
Yuri Collins,GSW,24,,,,1,2,1,4
Yves Missi,NOP,20,"6'11""",235,R,269,37,166,99
Zaccharie Risacher,ATL,20,"6'8""",200,R,335,50,100,90
Zach Collins,CHI,27,"6'11""",250,6,146,28,81,106
Zach Edey,MEM,22,"7'4""",305,R,246,35,113,64
Zach LaVine,SAC,30,"6'5""",200,10,610,58,225,303
Zeke Nnaji,DEN,24,"6'9""",240,4,70,25,37,23
Ziaire Williams,BKN,23,"6'9""",185,3,211,60,113,84
Zion Williamson,NOP,24,"6'6""",284,4,288,37,170,159
Zyon Pullin,MEM,24,"6'4""",206,R,0,0,0,0
